month,anemone,zub,symb.status,target.temp.fac,avg.temp,prot.ug.anemone,symb.cells.anemone,symb.per.prot,totalchl.ug.anemone,totalchl.ug.symb,totalchl.ug.ugprot,nonsymb.pHi.med,symb.pHi.med,GP.umol.ug.hr,R.umol.ug.hr,host.13C.percent,symb.13C.percent,temp
May,23A,23,sym,29,28.26,90.37632141,454171.9422,5025.342204,0.545416667,0.006034951,0.006034951,7.500712868,7.510807124,0.001121444,0.019482271,1.1092802,1.123529,29.00
May,23B,23,sym,29,28.26,99.10824841,258406.1611,2607.31236,0.3115625,0.003143659,0.003143659,NA,NA,-0.000856518,-0.001073735,NA,NA,29.00
May,24A,24,sym,29,28.26,158.0380072,477982.887,3024.480601,0.4415625,0.002794027,0.002794027,7.575352329,7.27982728,0.002151584,0.016156924,1.1109321,1.1281587,29.00
May,24B,24,sym,29,28.26,180.0776015,NA,NA,0.642916667,0.00357022,0.00357022,NA,NA,0.000425417,0.006060987,NA,NA,29.00
May,25A,25,sym,25,25.05,145.1410246,564080.3505,3886.429436,1.165729167,0.0080317,0.0080317,7.552755206,7.300694775,0.001876217,0.004388311,1.1113928,1.1280238,25.00
May,25B,25,sym,25,25.05,295.1532733,2811517.816,9525.619634,2.084166667,0.007061303,0.007061303,NA,NA,0.001010851,0.00429999,NA,NA,25.00
May,26A,26,sym,25,25.05,148.4136733,468307.1542,3155.417851,0.454270833,0.003060842,0.003060842,7.453068052,7.273236488,0.000220168,0.009183763,1.1125839,1.135755,25.00
May,26B,26,sym,25,25.05,180.6601533,874466.6746,4840.395951,0.808229167,0.004473754,0.004473754,NA,NA,2.04E-05,0.004118429,NA,NA,25.00
May,27A,27,sym,25,25.05,136.023522,514930.7725,3785.600939,0.606875,0.004461545,0.004461545,7.476372023,7.325269841,0.00208067,0.012575854,1.11135345,1.1323389,25.00
May,27B,27,sym,25,25.05,154.2107933,935081.4113,6063.657356,0.714270833,0.004631782,0.004631782,NA,NA,0.001220848,0.010266752,NA,NA,25.00
May,28A,28,sym,25,25.05,215.8550116,1149150.824,5323.716207,0.535520833,0.002480928,0.002480928,7.379932877,7.355226686,0.001082894,0.007019879,1.1173373,1.1486553,25.00
May,28B,28,sym,25,25.05,204.7315164,1082200.331,5285.948885,1.37625,0.006722219,0.006722219,NA,NA,0.002137687,0.010987014,NA,NA,25.00
May,29A,29,sym,31,29.78,262.5444733,562973.0534,2144.29596,0.438020833,0.001668368,0.001668368,7.373028731,7.159537643,0.000193133,0.005610432,1.1075497,1.1148538,31.00
