Tank,date_time2,Date,Time,Status,day,month,Cohort,Zub_temp,Target.temp,meanTemp,Day
1,2022-02-03 03:00:00,2022-02-03,03:00:00,Apo,3,Feb,LD,23.0323113333333,25,24.6,4
1,2022-02-03 03:00:00,2022-02-03,03:00:00,Symb,3,Feb,LD,22.8698113333333,25,24.6,4
1,2022-02-03 04:00:00,2022-02-03,04:00:00,Apo,3,Feb,LD,22.879128,25,24.6,4
1,2022-02-03 04:00:00,2022-02-03,04:00:00,Symb,3,Feb,LD,22.716628,25,24.6,4
1,2022-02-03 05:00:00,2022-02-03,05:00:00,Apo,3,Feb,LD,22.8833613333333,25,24.6,4
1,2022-02-03 05:00:00,2022-02-03,05:00:00,Symb,3,Feb,LD,22.7208613333333,25,24.6,4
1,2022-02-03 06:00:00,2022-02-03,06:00:00,Apo,3,Feb,LD,23.113128,25,24.6,4
1,2022-02-03 06:00:00,2022-02-03,06:00:00,Symb,3,Feb,LD,22.950628,25,24.6,4
1,2022-02-03 07:00:00,2022-02-03,07:00:00,Apo,3,Feb,LD,23.060603,25,24.6,4
1,2022-02-03 07:00:00,2022-02-03,07:00:00,Symb,3,Feb,LD,22.898103,25,24.6,4
1,2022-02-03 08:00:00,2022-02-03,08:00:00,Apo,3,Feb,LD,22.9571363333333,25,24.6,4
1,2022-02-03 08:00:00,2022-02-03,08:00:00,Symb,3,Feb,LD,22.7946363333333,25,24.6,4
1,2022-02-03 09:00:00,2022-02-03,09:00:00,Apo,3,Feb,LD,22.845528,25,24.6,4
1,2022-02-03 09:00:00,2022-02-03,09:00:00,Symb,3,Feb,LD,22.683028,25,24.6,4
1,2022-02-03 10:00:00,2022-02-03,10:00:00,Apo,3,Feb,LD,23.0314113333333,25,24.6,4
1,2022-02-03 10:00:00,2022-02-03,10:00:00,Symb,3,Feb,LD,22.8689113333333,25,24.6,4
1,2022-02-03 11:00:00,2022-02-03,11:00:00,Apo,3,Feb,LD,23.125128,25,24.6,4
1,2022-02-03 11:00:00,2022-02-03,11:00:00,Symb,3,Feb,LD,22.962628,25,24.6,4
1,2022-02-03 12:00:00,2022-02-03,12:00:00,Apo,3,Feb,LD,23.0274613333333,25,24.6,4
1,2022-02-03 12:00:00,2022-02-03,12:00:00,Symb,3,Feb,LD,22.8649613333333,25,24.6,4
1,2022-02-03 13:00:00,2022-02-03,13:00:00,Apo,3,Feb,LD,23.200053,25,24.6,4
1,2022-02-03 13:00:00,2022-02-03,13:00:00,Symb,3,Feb,LD,23.037553,25,24.6,4
1,2022-02-03 14:00:00,2022-02-03,14:00:00,Apo,3,Feb,LD,24.1203113333333,25,24.6,4
1,2022-02-03 14:00:00,2022-02-03,14:00:00,Symb,3,Feb,LD,23.9578113333333,25,24.6,4
1,2022-02-03 15:00:00,2022-02-03,15:00:00,Apo,3,Feb,LD,24.0168196666667,25,24.6,4
1,2022-02-03 15:00:00,2022-02-03,15:00:00,Symb,3,Feb,LD,23.8543196666667,25,24.6,4
1,2022-02-03 16:00:00,2022-02-03,16:00:00,Apo,3,Feb,LD,23.8769613333333,25,24.6,4
1,2022-02-03 16:00:00,2022-02-03,16:00:00,Symb,3,Feb,LD,23.7144613333333,25,24.6,4
1,2022-02-03 17:00:00,2022-02-03,17:00:00,Apo,3,Feb,LD,24.149478,25,24.6,4
1,2022-02-03 17:00:00,2022-02-03,17:00:00,Symb,3,Feb,LD,23.986978,25,24.6,4
1,2022-02-03 18:00:00,2022-02-03,18:00:00,Apo,3,Feb,LD,23.9770363333333,25,24.6,4
1,2022-02-03 18:00:00,2022-02-03,18:00:00,Symb,3,Feb,LD,23.8145363333333,25,24.6,4
1,2022-02-03 19:00:00,2022-02-03,19:00:00,Apo,3,Feb,LD,23.9135363333333,25,24.6,4
1,2022-02-03 19:00:00,2022-02-03,19:00:00,Symb,3,Feb,LD,23.7510363333333,25,24.6,4
